CustID,Age,Gender,City,AccountType,Balance,LoanAmt,EMI,Default
1,55,F,Sangli-Miraj & Kupwad,Current,446535.83,464620.09,17449.14,No
2,45,F,Siliguri,Current,126596.6,959925.41,34396.87,No
3,48,F,Jalgaon,Savings,296152.98,234949.47,23957.98,Yes
4,21,F,Ongole,Loan,456516.86,713372.5,40600.89,No
5,63,M,Visakhapatnam,Savings,473154.78,410889.97,41304.06,Yes
6,43,M,Gaya,Current,237588.02,507775.87,12844.05,No
7,20,M,Raebareli,Loan,142585.36,5322.65,49533.02,No
8,51,F,Kochi,Savings,230357.1,84652.37,24242.3,No
9,23,F,Jaunpur,Loan,246682.18,491244.26,26292.08,No
10,18,M,Firozabad,Savings,100154.13,476106.42,48771.95,Yes
11,27,M,Rajkot,Loan,12656.0,712937.93,44122.69,Yes
12,38,F,Nangloi Jat,Loan,425627.03,948626.41,34042.73,No
13,27,M,Satna,Savings,300389.9,822324.64,35400.37,Yes
14,56,M,Bareilly,Current,465023.35,909152.13,37572.26,No
15,57,F,Jaipur,Savings,424233.52,375183.15,19693.99,No
16,57,F,Durg,Savings,406597.38,552496.37,27410.09,No
17,44,M,Sambhal,Savings,52475.63,966585.2,30312.15,Yes
18,49,M,Raiganj,Current,489013.89,204088.2,48876.26,No
19,26,F,Korba,Loan,132459.06,10452.35,49580.13,No
20,53,F,Gaya,Loan,186414.92,348462.03,41796.37,No
21,21,F,Serampore,Loan,492319.02,655759.1,34451.3,No
22,37,M,Bilaspur,Current,203669.83,28842.2,26615.48,Yes
23,30,F,Alwar,Loan,377375.74,512503.13,9197.31,Yes
24,32,F,Bhalswa Jahangir Pur,Current,108452.45,738536.86,27847.64,No
25,51,M,Mira-Bhayandar,Current,59009.13,523611.98,22784.4,Yes
26,35,M,Nagercoil,Savings,178520.75,966266.01,41537.01,Yes
27,23,F,Chennai,Savings,475381.29,186900.98,43114.32,Yes
28,61,F,Kurnool,Savings,17325.45,563337.67,12886.43,No
29,57,M,Firozabad,Current,212780.03,308070.09,18034.88,Yes
30,27,F,Bihar Sharif,Current,219506.83,261254.22,47985.45,Yes
31,65,F,Purnia,Current,349595.88,382600.82,7727.85,Yes
32,64,F,Panipat,Current,307585.58,159901.06,32725.73,No
