College,State,NAAC,Students,Course,Placement%,AvgSalaryLPA,Recruiters
Toor PLC College,KA,A,3808,B.Tech,99.24,4.66,Wipro
Prabhakar PLC College,WB,B,2279,B.Tech,56.34,3.72,TCS
Ram and Sons College,KA,C,1147,B.Tech,96.21,19.07,Accenture
Thaker-Badal College,MH,C,1075,MBA,71.25,8.67,Accenture
Ben-Narain College,WB,A,3605,B.Sc,43.98,11.78,TCS
Khanna Group College,MH,A,2175,MBA,61.73,7.25,Wipro
"Badal, Trivedi and Chaudhuri College",KA,A,2707,MCA,71.4,3.36,Infosys
Wali-Krishna College,UP,A,3190,MBA,45.81,4.05,Deloitte
Toor-Patla College,Delhi,B,823,B.Tech,92.96,19.41,Infosys
Wadhwa LLC College,KA,A,3732,B.Tech,79.72,5.37,Wipro
"Sodhi, Dugar and Barad College",MH,B,1502,MBA,94.14,17.52,EY
"Agarwal, Mand and Chahal College",UP,B,4042,MBA,75.44,15.26,Accenture
"Joshi, Mammen and Gaba College",KA,A,4178,B.Sc,78.31,19.99,Wipro
Dubey-Bedi College,MH,B,2124,MBA,92.59,16.23,Infosys
"Dara, Prabhakar and Natarajan College",Delhi,C,3913,MCA,70.23,12.9,TCS
Borra Group College,TN,C,1259,B.Sc,46.88,16.22,Deloitte
"Mann, Minhas and Balasubramanian College",Delhi,B,3114,MCA,67.93,6.69,TCS
"D’Alia, Walla and Mahal College",WB,C,3128,B.Tech,64.84,12.14,TCS
"Manne, Dugar and Lala College",KA,B,3658,MCA,37.73,12.29,Accenture
Bumb and Sons College,WB,A,810,B.Tech,97.2,8.35,Wipro
Anne PLC College,KA,C,2886,B.Sc,86.09,3.37,Infosys
"Tella, Sagar and Deshpande College",KA,C,2994,B.Sc,80.29,5.12,Infosys
Boase-Mitra College,Delhi,C,1125,MCA,55.69,16.49,EY
Sharaf Ltd College,Delhi,B,4239,MBA,75.43,13.68,Infosys
Swamy Ltd College,Delhi,A,3962,B.Tech,64.51,9.33,Accenture
Aggarwal and Sons College,KA,A,4127,MCA,59.83,11.5,Accenture
"Vyas, Garg and Bhatt College",Delhi,C,2907,MBA,75.72,12.51,EY
"Deshpande, Kumer and Balan College",TN,B,2083,MBA,67.78,9.41,Wipro
"Nair, Borah and Mutti College",Delhi,C,4162,MBA,39.44,6.49,TCS
Bhattacharyya-Kuruvilla College,MH,A,1775,B.Sc,63.77,19.27,TCS
Kota-Gour College,UP,B,1388,MCA,47.73,16.1,TCS
Sahni-Madan College,MH,C,3889,B.Tech,43.16,7.7,Infosys
Khatri-Bhandari College,TN,A,4735,MCA,90.23,13.56,Infosys
Mallick Ltd College,KA,B,2375,MBA,69.86,9.5,Wipro
Aurora LLC College,WB,C,4347,MBA,94.55,3.55,Deloitte
Balay and Sons College,Delhi,B,4154,B.Sc,99.47,15.57,Wipro
Bhargava-Choudhary College,TN,C,4667,B.Tech,86.73,19.66,Accenture
Prasad LLC College,MH,B,4240,B.Tech,94.47,15.63,EY
"Dhawan, Subramaniam and Bandi College",Delhi,B,4909,B.Sc,75.35,4.19,TCS
Shroff LLC College,Delhi,C,1784,MCA,36.61,9.81,Accenture
Parmer-Lad College,KA,A,3266,MCA,59.49,12.28,Deloitte
"Nagi, D’Alia and Vohra College",TN,C,3295,MCA,76.14,9.63,Accenture
"Varma, Krish and Sampath College",WB,C,1634,B.Tech,95.22,11.38,TCS
"Pandya, De and Panchal College",Delhi,C,3099,B.Sc,77.3,7,TCS
"Mall, Gola and Sundaram College",UP,B,2505,MBA,70.87,10.71,Accenture
Shan-Kant College,MH,A,3219,MCA,59.29,7.32,Wipro
Prabhu and Sons College,UP,A,3790,MCA,30.95,16.13,Wipro
Atwal-Aurora College,TN,C,2972,B.Sc,95.15,3.83,Wipro
Sarna Group College,WB,C,747,B.Tech,70.76,11.35,TCS
Suresh-Dugal College,TN,C,2938,MBA,75.21,6.94,Accenture
"Sha, Chadha and Hegde College",TN,B,2368,MCA,82.69,5.83,EY
Viswanathan-Narain College,WB,B,1230,B.Sc,33.49,14.65,EY
Murthy-Tata College,WB,C,2437,MCA,82.73,14.62,Accenture
Murty-Hegde College,UP,A,3290,B.Sc,84.82,3.09,TCS
Shukla Ltd College,TN,A,3617,B.Sc,76.14,6.17,EY
"Venkataraman, Kunda and Sandal College",KA,B,4324,B.Tech,36.75,4.24,EY
Garg Inc College,Delhi,B,3370,MBA,55.71,15.82,Accenture
Kari and Sons College,UP,C,3345,B.Sc,71.46,7.45,Deloitte
Bhatti Ltd College,MH,A,2282,B.Sc,62.9,19.93,TCS
Gour-Krishnan College,Delhi,B,1007,MCA,93.71,15.77,Deloitte
Dalal-Kala College,KA,B,3012,MBA,50.03,5.19,Wipro
"Wali, Wagle and Swaminathan College",WB,A,3544,B.Tech,86.54,15.98,EY
Agrawal-Bassi College,KA,A,3632,B.Sc,83.32,8.04,Deloitte
Malhotra PLC College,KA,B,3315,B.Tech,80.18,3.09,Infosys
"Talwar, Mandal and Pradhan College",MH,B,512,B.Tech,55.68,8.91,TCS
"Mandal, Bala and Dayal College",Delhi,A,4624,B.Tech,97.96,6.49,Wipro
"Din, Balan and Krishnan College",UP,C,2452,B.Tech,64.32,3.78,TCS
"Ramesh, Mody and Sehgal College",UP,B,4076,MCA,55.43,3.12,Deloitte
Keer-Som College,UP,B,4207,B.Sc,83.84,12.62,EY
Lad Ltd College,KA,C,4907,B.Sc,90.98,10.89,Accenture
"Krishnamurthy, Chakrabarti and Shukla College",Delhi,B,1857,MCA,90.06,11.86,Deloitte
"Patil, Pandit and Dave College",UP,B,2686,B.Sc,49.53,19.58,TCS
Chowdhury-Kara College,TN,B,1835,B.Sc,64.29,18.13,Accenture
"Gala, Naik and Khanna College",Delhi,C,769,MBA,59.87,12.08,Wipro
Bava-Nori College,WB,A,2187,B.Tech,77.42,8.26,EY
"Narang, Wagle and Kuruvilla College",KA,B,1216,MBA,39.48,4.84,Deloitte
Shukla Inc College,WB,A,3593,B.Tech,87.41,7.52,Accenture
"Deo, Minhas and Rana College",WB,B,3424,MCA,87.17,15.36,EY
Sagar PLC College,Delhi,C,1295,MBA,41.08,19.04,EY
Ramaswamy-Viswanathan College,WB,B,3773,MBA,72.49,13.31,Wipro
"Mall, Saha and Pillay College",MH,B,3212,MBA,58.37,3.57,Accenture
"Balay, Kota and Dutta College",KA,A,1953,MCA,58.57,19.04,EY
"Bhardwaj, Pau and Sodhi College",UP,C,4532,MCA,31.35,8.14,Wipro
Narasimhan Inc College,UP,B,3559,MBA,70.39,15.23,TCS
"Mahajan, Gera and Mand College",Delhi,B,2834,B.Sc,61.33,18.85,EY
"Bali, Rastogi and Johal College",MH,C,1863,B.Sc,39.31,5.9,Infosys
"Mann, Vora and Chanda College",KA,A,1184,B.Tech,31.75,4.69,Accenture
Bahl-Swamy College,WB,B,1579,B.Tech,47.07,14.61,Deloitte
Palla-Tandon College,Delhi,B,992,B.Tech,41.43,10.39,TCS
Sharaf LLC College,Delhi,C,4829,MBA,49.13,11.53,Infosys
"Kota, Prakash and Balakrishnan College",KA,B,2927,MCA,90.5,8.26,Wipro
Kanda-Nigam College,Delhi,A,2235,MCA,49.15,15.43,TCS
"Bhattacharyya, Talwar and Pai College",KA,B,630,B.Tech,77.82,4.97,Deloitte
Singh-Bhatnagar College,Delhi,B,1562,MBA,77.54,3.56,Accenture
Ramachandran Inc College,Delhi,A,3360,B.Tech,51.3,4.1,TCS
Varghese-Hayre College,MH,A,4297,B.Tech,47.11,3.08,Accenture
Ray LLC College,Delhi,A,1247,MBA,55.49,10.01,EY
Date-Kapur College,KA,B,2447,B.Tech,93.46,19.31,Wipro
Shankar-Bhat College,UP,C,2906,B.Tech,31.15,19.41,EY
Pradhan-Bhasin College,Delhi,A,2509,B.Sc,47.4,3.15,Wipro
Dixit PLC College,UP,A,1669,MCA,99.95,19.23,EY
"Chanda, Dixit and Konda College",TN,B,763,B.Sc,74.71,6.4,Deloitte
Srivastava-Jayaraman College,MH,B,4127,MBA,98.74,15.57,TCS
"Narayan, Bhardwaj and Shanker College",MH,B,3632,MBA,97.65,16.81,EY
"Gara, Kalla and Krishnamurthy College",UP,B,1570,MBA,57.78,3.64,Wipro
"Tata, Tella and Wali College",TN,A,2020,MBA,97.31,3.34,TCS
Kata-Pal College,UP,C,5000,MBA,49.03,11.12,Accenture
Atwal Group College,UP,A,3405,B.Tech,58.78,13.61,Infosys
"Grover, Bhatnagar and Nayak College",UP,A,668,MCA,35.02,12.85,EY
Gala-Puri College,MH,C,3374,MBA,49.71,14.01,TCS
Kakar-Singh College,MH,A,2711,B.Tech,56.75,7.8,EY
Dube LLC College,UP,B,4385,MCA,65.29,17.43,EY
"Tara, Dalal and Nagy College",MH,C,3913,MBA,51.26,5.99,Infosys
Narain LLC College,TN,A,4311,MBA,84.91,9.2,EY
Narayan-Bath College,TN,C,652,MBA,46.94,3.05,Accenture
Sharaf Ltd College,TN,C,3949,MCA,83.7,19.29,Accenture
"Babu, Taneja and Barad College",WB,A,2054,B.Tech,45.05,16.04,Wipro
Gour Inc College,TN,C,3080,B.Tech,70.96,5.7,Accenture
Ramanathan-Pillai College,WB,A,2333,MBA,66.9,10.24,Accenture
Subramanian and Sons College,TN,B,2891,MBA,86.47,11.85,Deloitte
Manne-Palla College,Delhi,C,2179,B.Sc,68.13,9.14,Wipro
"Sama, Munshi and Devi College",Delhi,A,815,MCA,65.21,10.18,TCS
"More, Dugar and Kale College",MH,B,3999,B.Tech,66.41,14.82,Accenture
"Datta, Iyer and Bora College",UP,C,2439,B.Sc,31.49,18.59,Accenture
"Som, Rastogi and Chakraborty College",Delhi,B,3242,B.Sc,87.04,9.29,Wipro
Sarna-Doctor College,MH,C,758,MBA,35.32,18.8,EY
"Korpal, Dugar and Rajagopalan College",Delhi,C,1023,B.Tech,30.75,16.15,Accenture
"Mukhopadhyay, Purohit and Pant College",UP,B,2362,B.Tech,75.44,18.98,Infosys
Gandhi-Ramachandran College,TN,C,4243,B.Sc,88.92,14.77,Infosys
Loyal-Halder College,MH,B,1723,MBA,68.89,14.01,Accenture
Butala-Purohit College,KA,A,1292,B.Tech,97.91,7.47,Wipro
Dewan-Kohli College,TN,A,2416,MCA,62.17,8.91,Infosys
Krishnan-Dayal College,MH,C,2162,MCA,95.86,6.96,Accenture
"Bera, Kanda and Badal College",WB,A,2492,B.Sc,77.66,7.5,EY
Balasubramanian-Patil College,KA,B,2600,MCA,50.22,11.8,Accenture
"Saha, De and Contractor College",UP,C,1505,B.Sc,30.94,10.3,Wipro
"Randhawa, Bhargava and Khosla College",Delhi,A,3978,B.Sc,91.24,5.14,Deloitte
Khanna PLC College,UP,A,950,MBA,75.9,12.44,Wipro
"Zachariah, Sha and Parmar College",KA,B,2076,MBA,44.07,13.79,Deloitte
Kala-Sunder College,Delhi,A,539,MBA,99.64,19.92,EY
Dhillon-Mitter College,TN,C,890,MBA,43.72,14.77,Infosys
Maharaj Ltd College,TN,C,1852,MBA,98.62,10.31,Accenture
Nath-Krishna College,MH,C,1173,MCA,88.74,6.79,Deloitte
Tiwari-Dhar College,KA,A,4045,MBA,62.13,18.6,Wipro
Hora-Kannan College,MH,A,2525,B.Tech,67.41,11.01,Deloitte
Mitra-Kala College,Delhi,B,817,MBA,69.17,10.55,Wipro
Kohli and Sons College,MH,B,4400,MBA,55.15,10.74,Wipro
"Saha, Khanna and Kulkarni College",TN,B,2853,MCA,58.63,10.74,EY
Anne Ltd College,UP,A,747,B.Tech,63.52,13.3,Deloitte
"Parmer, Srivastava and Dhingra College",TN,B,4334,MBA,44.78,3.83,Infosys
Ramesh-Brar College,TN,A,3438,MBA,68.74,15.6,Accenture
"Dhingra, Ahluwalia and Bajwa College",KA,C,4333,B.Tech,75.19,17.74,Deloitte
Murty and Sons College,Delhi,B,1391,B.Tech,30.24,3.28,Accenture
Karpe-Saran College,KA,C,3296,B.Sc,80.08,7.57,EY
"Bhalla, Nagarajan and Ramesh College",KA,C,4445,MBA,92.98,6.57,Infosys
"Sethi, Lata and Gade College",UP,C,2561,MCA,75.23,5.46,Accenture
Prabhu LLC College,MH,B,3094,B.Tech,92.07,19.87,Deloitte
"Chand, Bhardwaj and Subramaniam College",TN,B,2860,MBA,32.16,5.16,TCS
Munshi and Sons College,Delhi,A,3527,MCA,36.8,13.73,Infosys
"Dube, Golla and Sibal College",Delhi,C,1631,B.Tech,80.56,18,Deloitte
Yohannan-Johal College,MH,B,900,MBA,87.26,7.67,TCS
