CustID,State,Age,Plan,MonthlyRecharge,DataGB,CallsMin,SMS,Churn
1,Tripura,55,Prepaid,220.83,27.84,52,314,No
2,Punjab,27,Prepaid,1471.3,15.4,908,370,Yes
3,West Bengal,20,Prepaid,1963.13,10.89,640,442,Yes
4,Goa,31,Prepaid,421.01,68.76,68,450,Yes
5,Andhra Pradesh,44,Prepaid,1579.17,1.39,665,251,No
6,Odisha,36,Prepaid,687.66,72.29,149,167,No
7,Bihar,43,Prepaid,1033.11,64.4,362,164,No
8,Bihar,40,Prepaid,1524.24,56.7,85,467,No
9,Chhattisgarh,67,Postpaid,1313.04,82.6,118,191,Yes
10,Andhra Pradesh,42,Prepaid,189.95,91.42,926,137,Yes
11,Goa,67,Postpaid,1624.95,50.78,894,64,Yes
12,Nagaland,61,Postpaid,1424.2,5.06,654,110,No
13,Uttar Pradesh,37,Prepaid,1541.91,66.35,729,367,Yes
14,Karnataka,45,Postpaid,673.86,56.6,516,117,Yes
15,Karnataka,23,Postpaid,716.24,37.09,459,29,Yes
16,Nagaland,46,Postpaid,1954.79,32.41,103,249,No
17,Telangana,29,Postpaid,1887.04,29.96,679,482,Yes
18,Assam,19,Prepaid,416.55,11.08,351,294,No
19,Manipur,69,Prepaid,1782.18,25.39,959,135,No
20,Sikkim,18,Prepaid,581.83,65.77,320,159,Yes
21,Haryana,62,Postpaid,1326.86,26.06,653,133,Yes
22,Uttar Pradesh,66,Prepaid,228.43,51.01,551,310,No
23,Gujarat,64,Prepaid,786.8,88.23,642,226,Yes
24,Tamil Nadu,67,Prepaid,268.54,44.74,911,246,No
25,Haryana,60,Postpaid,1115.99,74.29,375,134,No
26,Karnataka,18,Prepaid,489.87,12.48,69,493,Yes
27,Meghalaya,56,Postpaid,353.98,87.48,383,89,No
28,Assam,55,Prepaid,322.63,87.23,165,83,Yes
29,Rajasthan,58,Prepaid,207.82,2.46,818,94,Yes
30,Mizoram,42,Prepaid,1733.41,6.09,50,378,No
31,Goa,31,Postpaid,371.17,55.67,825,218,No
32,Chhattisgarh,31,Postpaid,835.16,46.56,613,206,Yes
33,Rajasthan,64,Postpaid,264.04,2.04,665,141,Yes
34,Rajasthan,20,Prepaid,1529.04,54.7,278,190,No
35,Chhattisgarh,37,Prepaid,831.22,63.15,229,18,No
