UserId,EducationLevel,Occupation
YBI211,Graduate,Professional
YBI212,Graduate,Professional
YBI213,Graduate,Professional
YBI214,Graduate,Professional
YBI215,Graduate,Professional
YBI216,Graduate,Professional
YBI217,Graduate,Professional
YBI218,Graduate,Professional
YBI219,Graduate,Professional
YBI220,Graduate,Professional
YBI221,Graduate,Professional
YBI222,Graduate,Management
YBI223,Graduate,Management
YBI224,Graduate,Management
YBI225,High School,Self Employeed
YBI226,High School,Self Employeed
YBI227,High School,Self Employeed
YBI228,High School,Office
YBI229,High School,Self Employeed
YBI230,High School,Self Employeed
YBI231,High School,Self Employeed
YBI232,High School,Self Employeed
YBI233,High School,Self Employeed
YBI234,High School,Self Employeed
YBI235,High School,Office
YBI236,High School,Office
YBI237,High School,Office
YBI238,High School,Office
YBI239,High School,Office
YBI240,High School,Office
YBI241,High School,Self Employeed
YBI242,High School,Self Employeed
YBI243,High School,Self Employeed
YBI244,High School,Self Employeed
YBI245,High School,Office
YBI246,High School,Self Employeed
YBI247,High School,Office
YBI248,High School,Office
YBI249,High School,Office
YBI250,High School,Self Employeed
YBI251,High School,Self Employeed
YBI252,High School,Self Employeed
YBI253,High School,Self Employeed
YBI254,High School,Office
YBI255,High School,Self Employeed
YBI256,High School,Self Employeed
YBI257,High School,Self Employeed
YBI258,High School,Self Employeed
YBI259,High School,Office
YBI260,High School,Self Employeed
YBI261,High School,Self Employeed
YBI262,High School,Office
YBI263,High School,Self Employeed
YBI264,High School,Self Employeed
YBI265,High School,Self Employeed
YBI266,High School,Self Employeed
YBI267,Graduate,Management
YBI268,High School,Self Employeed
YBI269,High School,Self Employeed
YBI270,High School,Self Employeed
YBI271,High School,Self Employeed
YBI272,High School,Self Employeed
YBI273,High School,Self Employeed
YBI274,High School,Self Employeed
YBI275,High School,Self Employeed
YBI276,High School,Professional
YBI277,High School,Professional
YBI278,High School,Self Employeed
YBI279,High School,Self Employeed
YBI280,High School,Self Employeed
YBI281,High School,Self Employeed
YBI282,High School,Self Employeed
YBI283,High School,Self Employeed
YBI284,High School,Self Employeed
YBI285,High School,Professional
YBI286,High School,Professional
YBI287,High School,Professional
YBI288,High School,Professional
YBI289,Graduate,Management
YBI290,Graduate,Management
YBI291,Graduate,Management
YBI292,Graduate,Management
YBI293,Graduate,Management
YBI294,High School,Self Employeed
YBI295,High School,Professional
YBI296,High School,Professional
YBI297,High School,Professional
YBI298,Graduate,Management
YBI299,High School,Professional
YBI300,High School,Professional
YBI301,Graduate,Professional
YBI302,Graduate,Management
YBI303,High School,Self Employeed
YBI304,High School,Self Employeed
YBI305,Graduate,Professional
YBI306,High School,Self Employeed
YBI307,High School,Self Employeed
YBI308,Graduate,Professional
YBI309,High School,Self Employeed
YBI310,Graduate,Professional
YBI311,Graduate,Professional
YBI312,Graduate,Professional
YBI313,Graduate,Professional
YBI314,Graduate,Professional
YBI315,Graduate,Professional
YBI316,Graduate,Professional
YBI317,Graduate,Professional
YBI318,Graduate,Professional
YBI319,High School,Self Employeed
